colname,colnameDisplay,colType,traitType,levels,comment
X31.Sepaal..uitsteeksels,X31 Sepaal uitsteeksels,trait,ordered,strong,
X32.Petalen..opeenvolgende.terugbuiging.van.de.bloemblaadjes,X32 Petalen opeenvolgende terugbuiging van de bloemblaadjes,trait,factor,,
X33.Petaal..vorm,X33 Petaal vorm,trait,factor,,
X34.Petaal..insnijdingen,X34 Petaal insnijdingen,trait,ordered,strong,
X35.Petaal..buiging.van.de.rand,X35 Petaal buiging van de rand,trait,ordered,strong,
X36.Petaal..golving,X36 Petaal golving,trait,ordered,strong,
X38.Petaal..lengte,X38 Petaal lengte,trait,ordered,long,
X39.Petaal..breedte,X39 Petaal breedte,trait,ordered,broad,
X40.Petaal..aantal.kleuren.op.de.binnenzijde..basisvlek.uitgezonderd.,X40 Petaal aantal kleuren op de binnenzijde basisvlek uitgezonderd ,trait,factor,,
X41.Petaal..intensiteit.van.de.kleur..basisvlek.uitgezonderd.,X41 Petaal intensiteit van de kleur basisvlek uitgezonderd ,trait,factor,,
X42.Petaal..hoofdkleur.op.de.binnenzijde.E.nr....of.X,X42 Petaal hoofdkleur op de binnenzijde E nr of X,trait,color,,
X42.Petaal..hoofdkleur.op.de.binnenzijde.RHS.code,X42 Petaal hoofdkleur op de binnenzijde RHS code,trait,RHS,,
X43.Petaal..tweede.kleur..basisvlek.uitgezonderd..E.nr....of.X,X43 Petaal tweede kleur basisvlek uitgezonderd E nr of X,trait,color,,
X43.Petaal..tweede.kleur..basisvlek.uitgezonderd..RHS.code,X43 Petaal tweede kleur basisvlek uitgezonderd RHS code,trait,RHS,,
X44.Petaal..derde.kleur..basisvlek.uitgezonderd.,X44 Petaal derde kleur basisvlek uitgezonderd ,trait,factor,,Actually a color
X45.Petaal..verdeling.van.de.tweede.kleur.op.de.binnenzijde..basisvlek.uitgezonderd.,X45 Petaal verdeling van de tweede kleur op de binnenzijde basisvlek uitgezonderd ,trait,factor,,
X46.Petaal..verdeling.van.de.derde.kleur.op.de.binnenzijde..basisvlek.uitgezonderd.,X46 Petaal verdeling van de derde kleur op de binnenzijde basisvlek uitgezonderd ,trait,factor,,
X47.Petaal..basisvlek.op.de.binnenzijde,X47 Petaal basisvlek op de binnenzijde,trait,factor,,
X48.Petaal..grootte.van.de.basisvlek.op.de.binnenzijde,X48 Petaal grootte van de basisvlek op de binnenzijde,trait,ordered,large,
X49.Petaal..kleur.van.de.basisvlek.op.de.binnenzijde,X49 Petaal kleur van de basisvlek op de binnenzijde,trait,factor,,Actually a color
X50.Petaal..hoofdkleur.van.de.buitenzijde..alleen.indien.duidelijk.afwijkend.van.de.binnenzijde..E.nr....of.X,X50 Petaal hoofdkleur van de buitenzijde alleen indien duidelijk afwijkend van de binnenzijde E nr of X,trait,color,,
X50.Petaal..hoofdkleur.van.de.buitenzijde..alleen.indien.duidelijk.afwijkend.van.de.binnenzijde..RHS.code,X50 Petaal hoofdkleur van de buitenzijde alleen indien duidelijk afwijkend van de binnenzijde RHS code,trait,RHS,,
X51.Buitenste.meeldraden..dominerende.kleur.van.de.helmdraad,X51 Buitenste meeldraden dominerende kleur van de helmdraad,trait,factor,,Actually a color
